id,centre_type,coordinates,country,region,county,postcode
,Drive through centre,SRID=4326;POINT (-1.511518928362669 54.26287954565668),United Kingdom,Yorkshire and The Humber,North Yorkshire,DL8 2JQ
,Home,SRID=4326;POINT (-3.167374274353443 56.6906364585321),United Kingdom,Scotland,Angus,DD8 5JA
,Home,SRID=4326;POINT (-4.063473658738793 54.79445292889597),United Kingdom,,,DG6 4XJ
,Drive through centre,SRID=4326;POINT (-4.380045838186611 53.3334430805904),United Kingdom,Wales,Isle of Anglesey,LL71 7BD
,Home,SRID=4326;POINT (-2.540232825255917 56.81177568334002),United Kingdom,Scotland,Aberdeenshire,AB30 1PS
,Hospital,SRID=4326;POINT (-2.452204240943837 50.7784482766573),United Kingdom,South West (England),Dorset,DT2 7SH
,Drive through centre,SRID=4326;POINT (-4.701273110093106 55.29581025617079),United Kingdom,Scotland,South Ayrshire,KA19 8LU
,GP clinic,SRID=4326;POINT (-0.4695104975355768 52.08052526925565),United Kingdom,East of England,Central Bedfordshire,MK45 3NQ
,Other,SRID=4326;POINT (0.2719187670430028 52.34735137126913),United Kingdom,East of England,Cambridgeshire,CB7 5YF
,Home,SRID=4326;POINT (-2.489206655170517 51.67233459257765),United Kingdom,South West (England),Gloucestershire,GL13 9QX
,Home,SRID=4326;POINT (-4.033348367810181 57.48629096586154),United Kingdom,Scotland,Highland,IV2 5EG
,GP clinic,SRID=4326;POINT (-0.5590080532135859 53.55843133819853),United Kingdom,Yorkshire and The Humber,North Lincolnshire,DN20 0AQ
,Drive through centre,SRID=4326;POINT (-6.999246163852054 55.04306909758709),United Kingdom,Northern Ireland,Causeway Coast and Glens,BT49 9JY
,Drive through centre,SRID=4326;POINT (-2.226629747461215 53.48725880394219),United Kingdom,North West (England),Manchester,M99 1AD
,Other,SRID=4326;POINT (-3.054608604589474 50.99240298019712),United Kingdom,South West (England),Somerset,TA3 5BX
,Other,SRID=4326;POINT (-0.4644833065759846 54.21246963380477),United Kingdom,Yorkshire and The Humber,North Yorkshire,YO12 4SH
,Hospital,SRID=4326;POINT (-0.6370689011657102 52.57683739035521),United Kingdom,East Midlands (England),Rutland,NN17 3AA
,Hospital,SRID=4326;POINT (-3.865317871954546 50.38040191844843),United Kingdom,South West (England),Devon,PL21 0HJ
,Other,SRID=4326;POINT (-4.898591028881233 54.90420911951142),United Kingdom,Scotland,Dumfries and Galloway,DG9 8SL
,Other,SRID=4326;POINT (-1.734820383286557 54.89355074753443),United Kingdom,North East (England),County Durham,NE16 6DB
,Other,SRID=4326;POINT (-4.986588555619129 56.4276251503268),United Kingdom,Scotland,Argyll and Bute,PA33 1AP
,Drive through centre,SRID=4326;POINT (0.9361706398649741 51.91022875133319),United Kingdom,East of England,Essex,CO4 0JQ
,Hospital,SRID=4326;POINT (-4.479231338230154 54.93766589154742),United Kingdom,Scotland,Dumfries and Galloway,DG8 6QE
,Other,SRID=4326;POINT (-1.619570332509179 53.43804064539365),United Kingdom,Yorkshire and The Humber,Sheffield,S6 6JN
,Home,SRID=4326;POINT (-3.463536948093076 51.70882598384996),United Kingdom,Wales,Rhondda Cynon Taf,CF44 7PT
,GP clinic,SRID=4326;POINT (-3.403558021266774 51.84921659073867),United Kingdom,Wales,Powys,
,Home,SRID=4326;POINT (-3.826756623099883 50.57544330193838),United Kingdom,South West (England),Devon,TQ13 7TU
,Drive through centre,SRID=4326;POINT (0.8734815728326009 51.01044073762829),United Kingdom,South East (England),Kent,TN29 0AY
,Home,SRID=4326;POINT (-3.448331055347712 55.51675986080335),United Kingdom,Scotland,Scottish Borders,ML12 6QP
,Other,SRID=4326;POINT (-0.5468900716862679 54.39441539234815),United Kingdom,Yorkshire and The Humber,North Yorkshire,YO22 4US
,Drive through centre,SRID=4326;POINT (-4.812340108242456 57.23846407423827),United Kingdom,Scotland,Highland,
,Other,SRID=4326;POINT (-4.841271319237404 58.54111034628227),United Kingdom,Scotland,Highland,
,Other,SRID=4326;POINT (-4.146848739379092 56.41974184935815),United Kingdom,Scotland,Perth and Kinross,
,Home,SRID=4326;POINT (-5.88629166704768 57.13001495825404),United Kingdom,Scotland,Highland,
,Home,SRID=4326;POINT (0.3791905146223176 51.71912485990857),United Kingdom,East of England,Essex,CM1 3SR
,Other,SRID=4326;POINT (-5.513362751817446 57.70291293640011),United Kingdom,Scotland,Highland,
,Hospital,SRID=4326;POINT (-5.391918502616078 57.84962643058192),United Kingdom,Scotland,Highland,
,Hospital,SRID=4326;POINT (-3.906143430916076 57.3475178830344),United Kingdom,Scotland,Highland,
,Other,SRID=4326;POINT (-3.114688681524381 52.93104954463104),United Kingdom,Wales,Wrexham,SY10 7NF
,Other,SRID=4326;POINT (-6.355695175508307 57.31258708025893),United Kingdom,,,IV47 8SH
,Drive through centre,SRID=4326;POINT (-3.770745276288788 52.57183665940459),United Kingdom,Wales,Powys,SY20 8SF
,Home,SRID=4326;POINT (-2.276094262350091 55.75961696493636),United Kingdom,Scotland,Scottish Borders,TD11 3LU
,Drive through centre,SRID=4326;POINT (-1.741763829546768 50.78369081676022),United Kingdom,South East (England),Hampshire,BH23 8AP
,Other,SRID=4326;POINT (-0.5740799454173882 54.01328464485053),United Kingdom,Yorkshire and The Humber,East Riding of Yorkshire,YO25 9YJ
,Home,SRID=4326;POINT (1.084622127034832 51.30966772708651),United Kingdom,South East (England),Kent,CT2 9NN
,Other,SRID=4326;POINT (-3.929477908318789 54.88703348389481),United Kingdom,Scotland,Dumfries and Galloway,DG7 1SS
,Drive through centre,SRID=4326;POINT (-4.581371910221882 57.82463919311152),United Kingdom,Scotland,Highland,
,Drive through centre,SRID=4326;POINT (0.06636268294384351 51.23728815953857),United Kingdom,South East (England),Kent,TN8 6RP
,Drive through centre,SRID=4326;POINT (-1.600281037221802 51.41511185207543),United Kingdom,South West (England),Wiltshire,SN8 3HU
,Other,SRID=4326;POINT (-3.823459386734177 50.85984943606336),United Kingdom,South West (England),Devon,EX17 6AL
,Drive through centre,SRID=4326;POINT (-4.772947826881858 51.95853013273939),United Kingdom,Wales,Pembrokeshire,SA41 3TU
,Hospital,SRID=4326;POINT (-3.484681560924503 56.6088179077188),United Kingdom,Scotland,Perth and Kinross,PH8 0HD
,Other,SRID=4326;POINT (0.0761401864356408 52.77502146048098),United Kingdom,East Midlands (England),Lincolnshire,PE12 0DG
,Drive through centre,SRID=4326;POINT (-4.08981605476916 56.29794946972949),United Kingdom,Scotland,Perth and Kinross,
,Home,SRID=4326;POINT (-0.4605108095226278 54.12689879359095),United Kingdom,Yorkshire and The Humber,North Yorkshire,YO25 3BJ
,Drive through centre,SRID=4326;POINT (-3.510537060590793 55.50037778126733),United Kingdom,Scotland,Scottish Borders,
,Drive through centre,SRID=4326;POINT (-6.477133886728849 55.03833457669734),United Kingdom,Northern Ireland,Causeway Coast and Glens,BT53 7DG
,Other,SRID=4326;POINT (1.176077810441869 52.34829534010598),United Kingdom,East of England,Suffolk,IP21 4BW
,Home,SRID=4326;POINT (-3.208015098507031 52.97972765653142),United Kingdom,Wales,Denbighshire,LL20 8AJ
,GP clinic,SRID=4326;POINT (-1.172831928472314 51.47401485186096),United Kingdom,South East (England),West Berkshire,RG8 8QT
,Drive through centre,SRID=4326;POINT (-6.546930810335134 55.09181012640924),United Kingdom,Northern Ireland,Causeway Coast and Glens,BT53 6QN
,Drive through centre,SRID=4326;POINT (0.378364754688814 52.74674252646216),United Kingdom,East of England,Norfolk,PE34 3LN
,Other,SRID=4326;POINT (-3.248349437862782 56.6183731635556),United Kingdom,Scotland,Perth and Kinross,PH11 8JF
,Drive through centre,SRID=4326;POINT (-1.380160422812435 54.86905784604718),United Kingdom,North East (England),Sunderland,SR2 0EG
,GP clinic,SRID=4326;POINT (-6.398436160892735 58.42981713269664),United Kingdom,Scotland,Na h-Eileanan Siar,HS2 0SG
,Hospital,SRID=4326;POINT (-6.346631186599755 55.85180967497117),United Kingdom,Scotland,Argyll and Bute,PA44 7PP
,Hospital,SRID=4326;POINT (-1.798348949537981 51.06520632721496),United Kingdom,South West (England),Wiltshire,SP1 2EZ
,Drive through centre,SRID=4326;POINT (-5.256514458407893 56.63295933408538),United Kingdom,Scotland,Highland,PA38 4BT
,GP clinic,SRID=4326;POINT (-0.168304579788737 53.75695970419156),United Kingdom,Yorkshire and The Humber,East Riding of Yorkshire,HU12 8SX
,Other,SRID=4326;POINT (-3.621286239316777 55.83560509218439),United Kingdom,Scotland,West Lothian,EH55 8FD
,GP clinic,SRID=4326;POINT (-0.7329910573530727 51.38300385279244),United Kingdom,South East (England),Bracknell Forest,RG12 0SL
,GP clinic,SRID=4326;POINT (-6.918793602285753 58.18555402803788),United Kingdom,Scotland,Na h-Eileanan Siar,HS2 9HL
,GP clinic,SRID=4326;POINT (-0.1659087207819567 52.204444540192),United Kingdom,East of England,Cambridgeshire,PE19 6TX
,GP clinic,SRID=4326;POINT (-6.152749424087228 54.70073298061276),United Kingdom,Northern Ireland,Antrim and Newtownabbey,BT41 2EZ
,GP clinic,SRID=4326;POINT (-3.03540460288936 57.47102343202643),United Kingdom,Scotland,Moray,AB55 5PR
,Other,SRID=4326;POINT (-4.381374363150043 58.13195722053165),United Kingdom,Scotland,Highland,
,Other,SRID=4326;POINT (-4.435685366539781 53.39424940152255),United Kingdom,Wales,Isle of Anglesey,LL66 0AY
,Hospital,SRID=4326;POINT (-1.195844597552292 54.17745935844767),United Kingdom,Yorkshire and The Humber,North Yorkshire,YO61 4QQ
,GP clinic,SRID=4326;POINT (-4.220254242814913 56.15363536371221),United Kingdom,Scotland,Stirling,
,Other,SRID=4326;POINT (-2.047254277529841 51.71385727429195),United Kingdom,South West (England),Gloucestershire,GL7 6LA
,GP clinic,SRID=4326;POINT (-0.2351679022305149 54.0129764724794),United Kingdom,Yorkshire and The Humber,East Riding of Yorkshire,YO25 8PR
,Drive through centre,SRID=4326;POINT (-4.670844705345507 50.60872224833643),United Kingdom,South West (England),Cornwall,PL32 9QH
,Hospital,SRID=4326;POINT (-3.476329101121684 58.51256304036464),United Kingdom,Scotland,Highland,KW12 6WD
,Hospital,SRID=4326;POINT (1.423997183093997 52.26724594809076),United Kingdom,East of England,Suffolk,IP17 2EU
,Home,SRID=4326;POINT (0.2128844781233159 51.84192654966648),United Kingdom,East of England,Essex,CM22 7UG
,Other,SRID=4326;POINT (-0.5749222083709471 54.3706399706914),United Kingdom,Yorkshire and The Humber,North Yorkshire,
,GP clinic,SRID=4326;POINT (-5.242559081053557 57.64443178144335),United Kingdom,Scotland,Highland,
,Home,SRID=4326;POINT (-0.6243682610982493 53.22032648725133),United Kingdom,East Midlands (England),Lincolnshire,LN6 4RP
,Drive through centre,SRID=4326;POINT (-1.875228507282913 53.18639286142105),United Kingdom,West Midlands (England),Staffordshire,SK17 0PU
,Home,SRID=4326;POINT (-1.348982335307549 50.98714573727683),United Kingdom,South East (England),Hampshire,SO50 4NA
,Home,SRID=4326;POINT (-1.485735835494165 51.60693221650993),United Kingdom,South East (England),Oxfordshire,OX12 9PF
,Drive through centre,SRID=4326;POINT (0.1333517485809832 52.49307577039804),United Kingdom,East of England,Cambridgeshire,PE15 0DY
,Home,SRID=4326;POINT (-3.960278837317195 57.53487366672835),United Kingdom,Scotland,Highland,IV12 5XZ
,Other,SRID=4326;POINT (-2.81783269292903 53.34360052690592),United Kingdom,North West (England),Halton,L24 6TA
,Home,SRID=4326;POINT (-2.158535394196845 55.27023917779898),United Kingdom,North East (England),Northumberland,NE19 1HL
,Home,SRID=4326;POINT (-2.471222920194688 52.15374252494095),United Kingdom,West Midlands (England),"Herefordshire, County of",WR6 5AQ
,Drive through centre,SRID=4326;POINT (-3.942312205754392 56.67474834664211),United Kingdom,Scotland,Perth and Kinross,
,Drive through centre,SRID=4326;POINT (-2.15217830733891 57.41810913099459),United Kingdom,Scotland,Aberdeenshire,AB41 7UB
,Drive through centre,SRID=4326;POINT (1.716107759432001 52.47952868881599),United Kingdom,East of England,Suffolk,NR32 3AQ
,Other,SRID=4326;POINT (-3.82327571665695 51.00296048297137),United Kingdom,South West (England),Devon,EX36 4LU
,GP clinic,SRID=4326;POINT (0.7833009798228492 52.57716580080955),United Kingdom,East of England,Norfolk,IP25 7AD
,Drive through centre,SRID=4326;POINT (-5.07153097623834 56.07016475150427),United Kingdom,Scotland,Argyll and Bute,
,Drive through centre,SRID=4326;POINT (-2.503291173679119 52.29962808678302),United Kingdom,West Midlands (England),Worcestershire,WR15 8PA
,GP clinic,SRID=4326;POINT (-4.938432991639329 50.43240848163352),United Kingdom,South West (England),Cornwall,TR9 6BQ
,GP clinic,SRID=4326;POINT (-3.935326681618314 55.00650954931309),United Kingdom,Scotland,Dumfries and Galloway,DG7 3DB
,Hospital,SRID=4326;POINT (-0.5643226803644463 51.93795707750856),United Kingdom,East of England,Central Bedfordshire,LU7 9QB
,Drive through centre,SRID=4326;POINT (-3.211960891737575 52.85840251039001),United Kingdom,Wales,Powys,SY10 7QP
,Other,SRID=4326;POINT (-1.872790748359014 54.39656075188411),United Kingdom,Yorkshire and The Humber,North Yorkshire,DL11 7LG
,Hospital,SRID=4326;POINT (-2.190472503031386 53.81052686043337),United Kingdom,North West (England),Lancashire,BB10 3QQ
,Home,SRID=4326;POINT (0.2737848307740354 51.15668685303567),United Kingdom,South East (England),Kent,TN4 0AS
,Drive through centre,SRID=4326;POINT (-1.932158638180662 57.61545260571818),United Kingdom,Scotland,Aberdeenshire,AB43 8SE
,Drive through centre,SRID=4326;POINT (-3.324151363705268 54.43196600257145),United Kingdom,North West (England),Cumbria,CA20 1EU
,Hospital,SRID=4326;POINT (-2.375370774306465 52.71653114914339),United Kingdom,West Midlands (England),Shropshire,TF11 8RL
,Drive through centre,SRID=4326;POINT (-3.450716496538854 57.26398423676405),United Kingdom,Scotland,Highland,AB37 9HR
,Hospital,SRID=4326;POINT (-1.897519999647647 55.6043707823341),United Kingdom,North East (England),Northumberland,NE66 5SB
,GP clinic,SRID=4326;POINT (-3.030263169657771 55.74469262633004),United Kingdom,Scotland,Scottish Borders,
,GP clinic,SRID=4326;POINT (-5.002450103621784 57.34394937714781),United Kingdom,Scotland,Highland,
,Other,SRID=4326;POINT (-3.02283823041518 54.18695915726025),United Kingdom,North West (England),Cumbria,LA11 7PS
,Other,SRID=4326;POINT (-0.7045977786511424 54.28383329112837),United Kingdom,Yorkshire and The Humber,North Yorkshire,YO18 7NQ
,Drive through centre,SRID=4326;POINT (-2.541394622720723 55.49644250129457),United Kingdom,Scotland,Scottish Borders,TD8 6TH
,Home,SRID=4326;POINT (-4.320432218133693 56.36155802658567),United Kingdom,Scotland,Stirling,FK19 8NX
,GP clinic,SRID=4326;POINT (-0.8257902388390681 52.06738727863399),United Kingdom,South East (England),Milton Keynes,MK12 5NN
,Other,SRID=4326;POINT (-4.48492928910937 58.39740639060576),United Kingdom,Scotland,Highland,
,Drive through centre,SRID=4326;POINT (-2.254627970339911 52.69614681366475),United Kingdom,West Midlands (England),Staffordshire,TF11 8LX
,GP clinic,SRID=4326;POINT (-7.56694196281407 54.45439560650858),United Kingdom,Northern Ireland,Fermanagh and Omagh,BT78 3FA
,Other,SRID=4326;POINT (-4.854278841508869 58.46819314576366),United Kingdom,Scotland,Highland,
,GP clinic,SRID=4326;POINT (-2.316096303399857 53.41967376024641),United Kingdom,North West (England),Trafford,M33 3DN
,Other,SRID=4326;POINT (-3.098608914620605 53.34467851490123),United Kingdom,North West (England),Wirral,CH61 5XR
,Hospital,SRID=4326;POINT (-3.435377901315932 50.78907963712911),United Kingdom,South West (England),Devon,EX5 3JN
,Drive through centre,SRID=4326;POINT (-0.1612710922070208 53.7917620660769),United Kingdom,Yorkshire and The Humber,East Riding of Yorkshire,HU11 4ND
,GP clinic,SRID=4326;POINT (-3.240600741206575 57.57025172398727),United Kingdom,Scotland,Moray,
,Hospital,SRID=4326;POINT (-1.084431107624924 53.70918569370569),United Kingdom,Yorkshire and The Humber,North Yorkshire,YO8 8QP
,Home,SRID=4326;POINT (-0.5523777178960989 52.56232422750406),United Kingdom,East Midlands (England),Northamptonshire,PE8 6XY
,Home,SRID=4326;POINT (-3.501487114274789 56.82635767144972),United Kingdom,Scotland,Perth and Kinross,PH10 7QG
,Hospital,SRID=4326;POINT (-0.8202341777815949 51.53796261146898),United Kingdom,South East (England),Windsor and Maidenhead,SL6 5PB
,Hospital,SRID=4326;POINT (-0.7404443543150228 51.72590404435012),United Kingdom,South East (England),Buckinghamshire,HP16 9PW
,Other,SRID=4326;POINT (-2.99222457101874 52.73338875139183),United Kingdom,Wales,Powys,SY5 9AS
,Other,SRID=4326;POINT (-3.124947730161205 55.84848419345854),United Kingdom,Scotland,Midlothian,EH24 9EU
,Drive through centre,SRID=4326;POINT (-5.421877497000806 55.90099807341873),United Kingdom,Scotland,Argyll and Bute,PA29 6YJ
,Home,SRID=4326;POINT (-6.154599894535643 55.74452851153467),United Kingdom,Scotland,Argyll and Bute,
,Other,SRID=4326;POINT (-5.059306247058332 57.08940293596739),United Kingdom,Scotland,Highland,
,Hospital,SRID=4326;POINT (-0.3855478413839259 51.83961421014185),United Kingdom,East of England,Central Bedfordshire,LU1 4LG
,Drive through centre,SRID=4326;POINT (-5.350207989540422 57.68717990627047),United Kingdom,Scotland,Highland,
,Home,SRID=4326;POINT (-2.795196812813543 52.80633758401621),United Kingdom,West Midlands (England),Shropshire,SY4 3RX
,GP clinic,SRID=4326;POINT (-0.1972026517583458 53.275613224166),United Kingdom,East Midlands (England),Lincolnshire,LN8 5LR
,Home,SRID=4326;POINT (-1.773259085680575 55.10484558165747),United Kingdom,North East (England),Northumberland,NE20 0AS
,Home,SRID=4326;POINT (-2.471654004557146 53.73938240080168),United Kingdom,North West (England),Blackburn with Darwen,BB1 1RT
,Other,SRID=4326;POINT (-1.576052956529979 53.18817785770839),United Kingdom,East Midlands (England),Derbyshire,DE4 5LJ
,Drive through centre,SRID=4326;POINT (-2.198229957009946 53.37170700278525),United Kingdom,North West (England),Stockport,SK8 6ES
,Drive through centre,SRID=4326;POINT (-5.281416330799342 50.07285117073699),United Kingdom,South West (England),Cornwall,TR12 7PX
,Drive through centre,SRID=4326;POINT (-1.681010369036109 52.67966695995955),United Kingdom,West Midlands (England),Staffordshire,B79 9LB
,Other,SRID=4326;POINT (-3.6189346436754 56.75275443106533),United Kingdom,Scotland,Perth and Kinross,PH10 7PJ
,Other,SRID=4326;POINT (-3.943454648627095 57.45181884026385),United Kingdom,Scotland,Highland,
,Other,SRID=4326;POINT (-7.356279099826828 54.31516279568115),United Kingdom,Northern Ireland,Fermanagh and Omagh,BT94 4DD
,Hospital,SRID=4326;POINT (1.009692825545745 52.79379427243595),United Kingdom,East of England,Norfolk,NR20 5SG
,Home,SRID=4326;POINT (1.113829088774928 51.29472006508176),United Kingdom,South East (England),Kent,CT2 0AA
,Drive through centre,SRID=4326;POINT (-0.8769069123452136 52.28633800645338),United Kingdom,East Midlands (England),Northamptonshire,NN3 7SH
,Other,SRID=4326;POINT (-2.73416481643007 52.7776562608684),United Kingdom,West Midlands (England),Shropshire,SY4 3DQ
,Hospital,SRID=4326;POINT (0.3773507594671486 52.55778559819861),United Kingdom,East of England,Norfolk,PE38 0QH
,Home,SRID=4326;POINT (0.178914652473086 51.94267075427171),United Kingdom,East of England,Essex,CB11 3YJ
,Other,SRID=4326;POINT (-2.724762608244414 54.8324328490624),United Kingdom,North West (England),Cumbria,CA4 9RA
,Other,SRID=4326;POINT (-1.087909574117597 53.39317585711945),United Kingdom,East Midlands (England),Nottinghamshire,S81 8JE
,Other,SRID=4326;POINT (-1.738600244361093 51.81008857095043),United Kingdom,South West (England),Gloucestershire,OX18 4TP
,GP clinic,SRID=4326;POINT (-4.322659383401442 56.01461100344356),United Kingdom,Scotland,Stirling,
,Home,SRID=4326;POINT (-3.790550819454428 58.30711119149148),United Kingdom,Scotland,Highland,
,Home,SRID=4326;POINT (-4.681020705181039 55.9736358769162),United Kingdom,Scotland,Argyll and Bute,G82 5HE
,Drive through centre,SRID=4326;POINT (-5.750630056744191 57.48472522767955),United Kingdom,Scotland,Highland,
,Drive through centre,SRID=4326;POINT (0.0796559681891349 51.00663339840626),United Kingdom,South East (England),East Sussex,TN22 3ER
,GP clinic,SRID=4326;POINT (-2.982732846465711 56.68151587095642),United Kingdom,Scotland,Angus,DD8 4LG
,Other,SRID=4326;POINT (-1.880814875699454 53.7709421187168),United Kingdom,Yorkshire and The Humber,Calderdale,HX2 9XE
,Drive through centre,SRID=4326;POINT (-2.750141487614847 53.94265204995747),United Kingdom,North West (England),Lancashire,PR3 1BT
,GP clinic,SRID=4326;POINT (-2.802660582761652 55.3092533166789),United Kingdom,Scotland,Scottish Borders,
,Drive through centre,SRID=4326;POINT (-2.935858152974238 54.17738093339143),United Kingdom,North West (England),Cumbria,LA11 7PZ
,Drive through centre,SRID=4326;POINT (-1.613070009141095 54.29087283808013),United Kingdom,Yorkshire and The Humber,North Yorkshire,DL8 1TY
,Home,SRID=4326;POINT (-4.819976841924585 55.77428809252675),United Kingdom,Scotland,North Ayrshire,KA29 0BH
,GP clinic,SRID=4326;POINT (-1.663742664072018 51.49503484553711),United Kingdom,South West (England),Wiltshire,SN8 2LF
,GP clinic,SRID=4326;POINT (-2.075133358964559 53.46525734179704),United Kingdom,North West (England),Tameside,SK14 4TT
,Other,SRID=4326;POINT (-2.341521733948997 50.97560732339898),United Kingdom,South West (England),Dorset,DT10 2RY
,Home,SRID=4326;POINT (-7.718278610186321 54.32401116307741),United Kingdom,Northern Ireland,Fermanagh and Omagh,BT74 9DD
,Other,SRID=4326;POINT (-4.429958640830755 50.94452007057409),United Kingdom,South West (England),Devon,EX39 5RA
,GP clinic,SRID=4326;POINT (-1.038978103301031 51.03959214557487),United Kingdom,South East (England),Hampshire,GU34 3PA
,Drive through centre,SRID=4326;POINT (-0.9790694866184477 51.98186185766653),United Kingdom,South East (England),Buckinghamshire,MK18 4BP
,Drive through centre,SRID=4326;POINT (-5.046889400602364 50.16072024125032),United Kingdom,,,TR11 4NR
,Hospital,SRID=4326;POINT (-1.685979948063181 52.81525537738408),United Kingdom,West Midlands (England),Staffordshire,DE13 9SZ
,GP clinic,SRID=4326;POINT (-4.223870919732258 51.11815177980101),United Kingdom,South West (England),Devon,EX33 1FG
,Drive through centre,SRID=4326;POINT (-5.95865757649309 54.10584050232207),United Kingdom,Northern Ireland,"Newry, Mourne and Down",BT34 4XJ
,Drive through centre,SRID=4326;POINT (-4.522911868402276 51.77785813886887),United Kingdom,Wales,Carmarthenshire,SA33 4HY
,Home,SRID=4326;POINT (-1.849439478664765 52.95050032326794),United Kingdom,West Midlands (England),Staffordshire,ST14 5JS
,Drive through centre,SRID=4326;POINT (-7.478797102381773 54.20028776115866),United Kingdom,Northern Ireland,Fermanagh and Omagh,BT92 0BX
,Home,SRID=4326;POINT (-6.200471135283531 55.80695322220147),United Kingdom,Scotland,Argyll and Bute,PA45 7QP
,Home,SRID=4326;POINT (0.7115496682382751 51.01849038674821),United Kingdom,South East (England),Kent,TN30 7QD
,Hospital,SRID=4326;POINT (-0.3389571905762141 52.46587014878074),United Kingdom,East of England,Cambridgeshire,PE8 5NH
,Home,SRID=4326;POINT (-0.433725803676503 53.11722092086117),United Kingdom,East Midlands (England),Lincolnshire,LN4 3DL
,GP clinic,SRID=4326;POINT (-4.370361237359377 56.20581245126603),United Kingdom,Scotland,Stirling,FK8 3SY
,Drive through centre,SRID=4326;POINT (-2.039829157749537 54.59795388432682),United Kingdom,North East (England),County Durham,DL12 0LZ
,Other,SRID=4326;POINT (0.1174512422826997 53.14886557856549),United Kingdom,East Midlands (England),Lincolnshire,PE23 5PG
,Hospital,SRID=4326;POINT (-3.155768150614565 55.3402072821851),United Kingdom,Scotland,Dumfries and Galloway,
,Hospital,SRID=4326;POINT (-1.920589029714236 54.12504945063642),United Kingdom,Yorkshire and The Humber,North Yorkshire,
,Hospital,SRID=4326;POINT (-3.067587607291383 54.92503336437058),United Kingdom,North West (England),Cumbria,CA5 6AQ
,GP clinic,SRID=4326;POINT (-3.375647926071474 50.67121781408545),United Kingdom,South West (England),Devon,EX5 1JL
,GP clinic,SRID=4326;POINT (-2.80423436863294 52.55696696496126),United Kingdom,West Midlands (England),Shropshire,SY6 6JP
,Drive through centre,SRID=4326;POINT (-4.474925180399405 54.7816677310944),United Kingdom,Scotland,Dumfries and Galloway,DG8 8AW
,Hospital,SRID=4326;POINT (-5.250986029118915 57.39927464835235),United Kingdom,Scotland,Highland,
,Drive through centre,SRID=4326;POINT (-4.45941928885607 55.71172166639433),United Kingdom,Scotland,East Ayrshire,KA3 5JU
,GP clinic,SRID=4326;POINT (-1.573885901137204 50.75329073596485),United Kingdom,South East (England),Hampshire,SO41 8LB
,Other,SRID=4326;POINT (-0.6904345899895334 51.1496171103156),United Kingdom,South East (England),Surrey,GU8 6NQ
,Hospital,SRID=4326;POINT (-3.735385709764674 55.37833070748025),United Kingdom,Scotland,South Lanarkshire,ML12 6XW
,Drive through centre,SRID=4326;POINT (-2.452685332323898 52.97168128638344),United Kingdom,North West (England),Cheshire East,CW3 0DT
,Other,SRID=4326;POINT (-6.465721099995919 54.60484558980592),United Kingdom,Northern Ireland,Mid Ulster,
,GP clinic,SRID=4326;POINT (-3.25312596304931 54.50192525694926),United Kingdom,North West (England),Cumbria,
,Hospital,SRID=4326;POINT (-2.545046101676902 53.15537082292492),United Kingdom,North West (England),Cheshire West and Chester,CW7 4DF
,Other,SRID=4326;POINT (-1.467846000592271 53.63269691052583),United Kingdom,Yorkshire and The Humber,Wakefield,WF2 6PT
,Drive through centre,SRID=4326;POINT (-1.328363499055276 52.92113749440591),United Kingdom,East Midlands (England),Derbyshire,DE72 3SS
,Hospital,SRID=4326;POINT (-1.192747609710429 54.03586178378524),United Kingdom,Yorkshire and The Humber,North Yorkshire,YO30 1AX
,GP clinic,SRID=4326;POINT (-3.367540250216201 53.2614880527022),United Kingdom,Wales,Denbighshire,LL17 0TG
,Home,SRID=4326;POINT (-1.818417065888602 50.77025306835227),United Kingdom,South West (England),"Bournemouth, Christchurch and Poole",BH23 6AH
,GP clinic,SRID=4326;POINT (-1.363885893690511 52.98241003543747),United Kingdom,East Midlands (England),Derbyshire,DE7 6DA
,Hospital,SRID=4326;POINT (-1.533372060621703 54.13035044033185),United Kingdom,Yorkshire and The Humber,North Yorkshire,HG4 2JL
,Hospital,SRID=4326;POINT (-0.9563609640585788 52.94203068182112),United Kingdom,East Midlands (England),Nottinghamshire,NG13 8HB
,Other,SRID=4326;POINT (0.1802456742178311 53.34189907177671),United Kingdom,East Midlands (England),Lincolnshire,LN13 0PF
,Hospital,SRID=4326;POINT (-5.794843295143031 54.85756695920865),United Kingdom,,,BT40 1AE
,Drive through centre,SRID=4326;POINT (-4.199394156190859 55.99290506425135),United Kingdom,Scotland,East Dunbartonshire,G66 7NU
,Other,SRID=4326;POINT (-1.299133259818451 51.32688874665021),United Kingdom,South East (England),Hampshire,RG20 9AD
,Home,SRID=4326;POINT (0.4448825452659211 51.6456856950051),United Kingdom,East of England,Essex,CM11 1HE
,Hospital,SRID=4326;POINT (-2.193916901536006 57.06242559307162),United Kingdom,Scotland,Aberdeenshire,AB39 3QY
,Hospital,SRID=4326;POINT (-6.359448805265335 55.22488531043231),United Kingdom,Northern Ireland,Causeway Coast and Glens,BT54 6NQ
,Hospital,SRID=4326;POINT (-1.739834782262861 53.45810898414537),United Kingdom,Yorkshire and The Humber,Sheffield,
,Hospital,SRID=4326;POINT (-3.32607100618858 53.07005877239568),United Kingdom,Wales,Denbighshire,LL15 2PL
,Drive through centre,SRID=4326;POINT (-1.602810838703817 50.77196020251146),United Kingdom,South East (England),Hampshire,SO41 6DD
